,data_index,cluster
496,H.B.C 칵테일,6
497,에반스,1
498,에리카,6
499,엠버시 로열,1
500,올드 니크,6
501,올드 펄,1
502,올드 패션드,1
503,오리엔탈,6
504,오를레아니안,1
505,카우보이,7
506,키스 미 퀵,1
507,캡틴 콜린스,6
508,킹 조지 피브스,6
509,킹스 밸리,2
510,클로버 나이트,8
511,클론다이크 쿨러,4
512,케이블그램 하이볼,2
513,캔터키 커늘,1
514,코튼 플라워,6
515,갓파더,1
516,코모도르,6
517,사일런트 서드,2
518,서던 진저,6
519,서던 벨르,5
520,서머 히스,9
521,존 콜린스,4
522,스카치 킬트,6
523,스카치 콜린스,4
524,스카치 프라페,1
525,세인트 앤드류스,6
526,타탄 체크,4
527,더비 피즈,4
528,처칠,6
529,데일리 메일,4
530,테네시 쿨러,4
531,나이트 세이드,6
532,뉴욕,6
533,네빈스,4
534,바바리 코스트,7
535,바비칸,6
536,퍼펙트 로브 로이,1
537,버번 쿨러,5
538,버버넬라,2
539,버번 콜린스,4
540,버번 미스트,1
541,하이 해트,6
542,하이볼,5
543,하이랜드 쿨러,4
544,파디,1
545,해리 로더,1
546,허리케인,2
547,팬 아메리칸,6
548,포리브스 클로버,6
549,헌터,9
550,블랙 호크,3
551,블랙 워치,5
552,블러드 앤드 샌드,9
553,브루클린,3
554,버보넬라,3
555,프로즌 스카치,2
556,헤어 오브 더 독,8
557,베네딕트,5
558,홀 인 원,6
559,핫 위스키 토디,4
560,마이애미 비치,5
561,마이 도쿄,9
562,마미 테일러,4
563,맨해튼,1
564,민트 쿨러,5
565,멜팅,8
566,민트 쥴렙,1
567,라이 앤드 드라이,1
568,모닝 글로리 피즈,4
569,라이 위스키 칵테일,1
570,라이 콜린스,4
571,라이 레인,9
572,러스티 네일,1
573,린스티드,4
574,레이디스,3
575,레이디스 드림,1
576,록 로몬드,1
577,로스엔젤레스,4
578,로버트 번즈,1
579,로열 앰베세더,9
580,로브 로이,3
581,워드 에이트,6
582,원 아일랜드,8
583,아이스 브레이커,5
584,아카풀코,5
585,아카풀코 골드,5
586,어스퀘이크(데킬라),9
587,아즈테카,9
588,아메리칸 리전 마르가리타,2
589,앰베서더,4
590,에버 그린,5
591,엘 디아블로,4
592,코코넛 데킬라,4
593,콘치타,2
594,실크 스타킹,8
595,시클라멘,6
596,슬로 데킬라,2
597,차파라,9
598,데킬라 앤드 토닉,7
599,테키니,3
600,데킬라 아 라 멕시칸,3
601,데킬라 오렌지,4
602,데킬라 칵테일,4
603,데킬라 선셋,4
604,데킬라 선라이즈,4
605,데킬라 데이지,4
606,두랑고,5
607,판초 빌라,1
608,피카도르,1
609,블러디 불,4
610,프로스트바이트,8
611,프로즌 스트로베리,9
612,프로즌 블루 마가리타,2
613,브로드웨이 서스트,4
614,헤르메스,2
615,마타도르,9
616,마리아 데레사,4
617,마르가리타,2
618,멕시칸,4
619,머킹버드,4
620,라이징 선,2
621,아도니스,4
622,아딩톤,5
623,아무르,5
624,아메리카노,5
625,아메리칸 레모네이드,4
626,위스턴 일렉트릭,1
627,키르,5
628,키르 로열,5
629,클라우드 버스터,5
630,코로네이션,5
631,쉐리 트위스트,4
632,쉐리 플립,5
633,주얼리 박스,9
634,샴페인 칵테일,5
635,샴페인 쥴렙,8
636,심포니,1
637,스프리처,7
638,스마일링,5
639,세레브레이션,5
640,솔 키스,9
641,다이나마이트(샴페인),4
642,채플,5
643,버건디 칵테일,3
644,바르보타주,4
645,뱀부,4
646,피치 레이디,5
647,비숍,4
648,푸스 라피에르,3
649,블랙 앤드 탠,1
650,블랙 레인,5
651,블랙 펄,1
652,브로큰 스퍼,1
653,헤밍웨이,5
654,벨리니,5
655,베르무트 앤드 카시스,5
656,포트 플립,8
657,폼피에 데이지,5
658,미모사,4
659,루지타니아,6
660,레글론,6
661,로이 하워드,9
662,로열 하이네스,4
663,로즈,1
664,워싱턴,1
665,와인 쿨러,4
666,와인 코블러,5
667,애프터 디너,9
668,아프리콧 쿨러,4
669,옐로 패롯,8
670,위도우즈 키스,1
671,엔젤스 팁,8
672,카카오 피즈,9
673,칼루아&밀크,8
674,캄파리 오렌지,4
675,키스 미 퀵,8
676,쿠바 리브레 슈프림,9
677,키르슈 카시스,5
678,킹 알퐁소,8
679,퀸 마니에,6
680,쿨 바나나,8
681,그라스호퍼,8
682,글래드 아이,8
683,골든 캐딜락,8
684,삼부카 콘 모스카,1
685,스위트 하트,8
686,골든 드림,9
687,스위세스,9
688,스노 사로노,8
689,스노볼,9
690,스프모니,4
691,슬리퍼리 니플,7
692,슬로 진 피즈,4
693,체리 블로섬,6
694,찰리 채플린,9
695,토마토,5
696,나이트폴,0
697,하버드 쿨러,2
698,펄 브리지,4
699,바나나 브리스,8
700,바이올렛 피즈,4
701,파파게나,8
702,발렌시아,9
703,피콘 앤드 그레나덴,5
704,핑크 스콰렐,8
705,핑퐁,9
706,푸스 카페,3
707,페어리랜드,8
708,블루 레이디,2
709,프렐류드 피즈,4
710,벨벳 해머,8
711,페로케,5
712,화이트 사틴,8
713,민트 프라페,1
714,메리 위도 No 2,1
715,모레스크,5
716,야파,4
717,라포스토르 판타지,1
718,루비 피즈,4
719,레트 버틀러,9
720,아이 오브 더 허리케인,0
721,애플 프레즐,0
722,인코럽티블 샴페인,0
723,에그지트 12-E,0
724,에그 크림,8
725,엔젤 스페셜,0
726,카메하메하 펀치,0
727,캐서린 블로섬,0
728,쿨 콜린스,0
729,크란베리 크림 칵테일,0
730,그린 서머 쿨러,0
731,콰이어트 패션,0
732,케이프 코드 선라이즈,0
733,캔투미,0
734,코코 오코,0
735,코코 콜라,0
736,코코넛 쿨러,0
737,서머 쿨러,0
738,서머 딜라이트,0
739,살라토가 쿨러,0
740,산드리용,0
741,셜리 템플,0
742,잭스 스페셜,0
743,쟈니 쥴렙,0
744,스윙거,0
745,스키 와서,0
746,스포츠맨,0
747,세이프 섹스 온 더 비치,0
748,다니엘스 칵테일,0
749,더미 데이지,0
750,트로피칼 스톰,0
751,통가,0
752,너티 콜라,0
753,버진 맨해튼,0
754,버진 메리,0
755,파슨스 스페셜,0
756,퍼플 피플 이터,0
757,허니문,0
758,바르바렐라,0
759,비치코머,0
760,피치 멜바,0
761,포 키르,0
762,푸시 캣,0
763,푸시 푸트,0
764,블랑 벡 민트,0
765,프루트 컵,0
766,헤븐리 데이즈,0
767,머메이드스 송,0
768,먼디스 큐어,0
769,레드 솜브레로,0
770,레드 와인 샌드 가프,5
771,살구&그레이프 프루트 비어,5
772,카시스 크란베리 비어,5
773,칼피스 비어,5
774,캄파리 비어,5
775,샌디 가프,5
776,서브마리노,1
777,진저 비어,1
778,스톤 헤드,5
779,스트로베리 비어,5
780,데프스 차이,5
781,도그스 노즈,5
782,파나세,4
783,바나나 비어,5
784,비어 버스터,3
785,비어 풀립,8
786,비어 스프리처,5
787,피치 비어,5
788,블랙 벨벳,5
789,프랑젤리코 파인 비어,4
790,프랑부아즈 비어,4
791,블루 비어,5
792,보일러메이커,3
793,말차 비어,5
794,마린 스노,5
795,민트 비어,5
796,모카 쿠로나마,5
797,요슈,3
798,애플 비어,9
799,레드 아이,4
